,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
72,DAILY MENU - 11:30 TO 3:00,COMMERCIAL,"137 E. MADISON ST.,CHICAGO,ILL.",1900-03-30
73,DINNER TO THE BOARD OF OFFICERS OF THE CATHOLIC CLUB OF THE CITY OF NEW YORK,RELIG,"CATHOLIC CLUB, BANQUET HALL,NY",1901-06-06
74,LUNCH,COMMERCIAL,SS VENTURA,1901-06-06
75,DINNER,COMMERCIAL,SS VENTURA,1901-06-06
76,SUPPER,COMMERCIAL,EN ROUTE ABOARD KONIGIN LUISE,1901-06-06
77,DINNER,PROF,"PROVIDENCE, RI",1901-06-06
78,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,1901-06-07
79,LUNCHEON,COMMERCIAL,"CORONADO BEACH, CA",1900-08-21
80,ANNUAL OUTING OF EDWARD THOMPSON CO.,COMMERCIAL,"LONG BEACH, LI, NY",1900-08-21
81,DINNER,COMMERCIAL,"YOKOHAMA, JAPAN",1900-08-21
82,DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, OH",1900-08-22
83,DINNER,COMMERCIAL,"NAPLES, ITALY",1900-02-26
84,BANQUET,PROF,"SAVOY HOTEL, NEW YORK, NY",1900-02-26
85,MENU,,"NEW YORK, NY",1900-02-26
86,LUNCH,COMMERCIAL,EN ROUTE,1900-02-27
87,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,1900-02-28
88,SEMI-ANNUAL DINNER,PROF,"UNITED STATES HOTEL,BOSTON,MA",1900-05-12
89,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH ST,NEW YORK,NY",1900-05-13
90,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",1900-05-14
91,LUNCH,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, NY",1900-05-14
92,SUPPER,COMMERCIAL,"NASHVILLE, TN",1900-03-12
93,DINNER,COMMERCIAL,"NASHVILLE, TN",1900-03-12
94,DINNER,COMMERCIAL,STEAMSHIP IROQUOIS,1900-03-12
95,BREAKFAST,COMMERCIAL,"NASHVILLE, TN",1900-03-13
96,BREAKFAST,COMMERCIAL,S.S. COPTIC,1900-03-13
97,SOUPER,COMMERCIAL,NY,1900-03-30
98,LUNCHEON,MIL,TRANSPORT,1900-03-31
99,SUPPER,COMMERCIAL,"PHILADELPHIA,PA.",1900-03-31
100,DINNER,COMMERCIAL,"PHILADELPHIA, PA",1900-03-31
101,11TH ANNUAL BANQUET,PROF,"SOUTHERN HOTEL,ST. LOUIS,MO.",1900-03-31
102,,,,1900-04-15
103,,,,1900-04-15
104,,,,1900-04-16
105,,,,1900-04-16
106,,,,1900-04-16
107,,,,1900-04-16
108,,,,1900-04-16
109,,,,1900-04-17
110,,,,1900-04-17
111,,,,1900-04-17
112,,,,1900-04-17
113,,,,1900-04-18
114,,,,1900-04-18
115,,,,1900-04-18
116,,,,1900-04-18
117,,,,1900-04-18
118,,,,1900-04-18
119,,,,1900-04-18
120,,,,1900-04-18
121,,,,1900-04-18
122,,,,1900-04-18
123,,,,1900-04-19
124,,,,1900-04-19
125,,,,1900-04-19
126,,,,1900-04-20
127,,,,1900-04-20
128,,,,1900-04-20
129,,,,1900-04-20
130,,,,1900-04-21
131,,,,1900-04-21
132,,,,1900-04-21
133,,,,1900-04-22
134,,,,1900-04-22
135,,,,1900-04-22
136,,,,1900-04-23
137,,,,1900-04-23
138,,,,1900-02-18
139,,,,1900-02-18
140,,,,1900-02-18
141,,,,1900-02-19
142,,,,1900-02-19
143,,,,1900-02-20
144,,,,1900-02-20
145,,,,1890-01-06
146,,,,1890-01-08
147,,,,1888-10-15
148,,,,1865-06-09
149,,,,1892-05-19
150,,,,1901-06-03
151,,,,1901-06-04
152,,,,1901-06-05
153,,,,1901-06-05
154,,,,1901-01-01
155,,,,1901-01-01
156,,,,1901-06-05
157,,,,1900-02-25
158,,,,1900-02-26
159,,,,1900-02-26
160,,,,1900-02-26
161,,,,1900-02-26
162,,,,1900-02-26
163,,,,1900-02-26
164,,,,1900-02-26
165,,,,1900-02-26
166,,,,1900-03-11
167,,,,1900-03-11
168,,,,1900-03-11
169,,,,1900-03-11
170,,,,1900-03-27
171,,,,1900-03-30
172,,,,1900-03-30
173,,,,1900-03-30
174,,,,1901-06-06
175,,,,1901-06-06
176,,,,1901-06-06
177,,,,1901-06-06
178,,,,1901-06-06
179,,,,1901-06-06
180,,,,1901-06-07
181,,,,1900-08-21
182,,,,1900-08-21
183,,,,1900-02-26
184,,,,1900-05-14
185,,,,1900-03-12
186,,,,1900-03-13
187,,,,1900-03-30
188,,,,1900-03-31
189,,,,1900-03-31
190,,,,1900-03-31
191,DAILY MENU - 11:30 T0 3:00,COMMERCIAL,"137 E. MADISON ST. CHICAGO, ILL.",1900-03-31
192,DAILY MENU,COMMERCIAL,EN ROUTE,1900-03-31
